Model,Line Sort,Last Status,Line Type,Chassis Check In Status,Chassis Model,VIN,Final Destination,Capacity,Exit Factory Date,Current Exit Factory,Chassis Check In Date,Original SO,File Source,Model First 5 Chars,Related Order Number,Exit Factory Date Year & Week,Exit Factory Year,Exit Factory Week,Rear Loader 2512,Rear Loader (PKRRLSB),Manual Side Loader (PKRML),DC REFUSE STOCK
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,1M2LR2GC1TM013072,RWS TEXAS LEASING COMPANY LLC 9437,2448,2026-04-17,2026-04-17,2026-03-03,5268838,F4211,PKRAL,03346626,2026 - 16,2026,16,0,0,0,0
PKREVALZR,1,530,HFL,Checked-In,PKREVALZR,4M9CGDKF2TM265237,ALLIED WASTE SERVICES OF BOISE,2750,2026-04-01,2026-04-01,2026-03-03,5269984,F4211,PKREV,03347648,2026 - 14,2026,14,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1M2LR2GC5TM013074,REPUBLIC SERVICES ENVIRONMENTALSOLUTIONS,2848,2026-04-03,2026-04-03,2026-02-16,5270564,F4211,PKRAL,03348070,2026 - 14,2026,14,0,0,0,0
PKREVALZR,1,530,HFL,Checked-In,PKREVALZR,4M9CGDKF4TM265238,REPUBLIC SERVICES OF FT LAUDERDALE,2750,2026-04-03,2026-04-03,2026-03-03,5272545,F4211,PKREV,03349559,2026 - 14,2026,14,0,0,0,0
PKREVALZR,1,530,HFL,Checked-In,PKREVALZR,4M9CGDKF2TM265240,REPUBLIC SERVICES OF FT LAUDERDALE,2750,2026-04-08,2026-04-08,2026-03-03,5272545,F4211,PKREV,03349566,2026 - 15,2026,15,0,0,0,0
PKREVALZR,1,530,HFL,Checked-In,PKREVALZR,4M9CGDKF8TM265243,REPUBLIC SERVICES OF FT LAUDERDALE,2750,2026-04-14,2026-04-14,2026-03-03,5272545,F4211,PKREV,03349573,2026 - 16,2026,16,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,5VCACRDF9TC253760,CITY OF LONGMONT - FLEET SERVICES,2848,2026-04-10,2026-04-10,2026-02-20,5272675,F4211,PKRAL,03349668,2026 - 15,2026,15,0,0,0,0
PKRFL78CTCPQ,3,530,,Checked-In,Front Loader,1M2TE2NC2TM001463,REPUBLIC SERVICES ENVIRONMENTALSOLUTIONS,4086,2026-04-03,2026-04-03,2026-02-25,5272716,F4211,PKRFL,03349690,2026 - 14,2026,14,0,0,0,0
PKRFL78CTCPQ,3,525,,0,Front Loader,001462,ALLIED WASTE SERVICES OF BETTENDORF,4086,2026-04-10,2026-04-10,null,5273516,F4211,PKRFL,03350467,2026 - 15,2026,15,0,0,0,0
PKRFLATLCTCPQ,3,525,,0,Front Loader,001458,REPUBLIC SERVICES,4029,2026-04-10,2026-04-10,null,5273546,F4211,PKRFL,03350491,2026 - 15,2026,15,0,0,0,0
PKRFLATLCTCPQ,3,525,,0,Front Loader,001459,REPUBLIC SERVICES,4029,2026-04-10,2026-04-10,null,5273546,F4211,PKRFL,03350497,2026 - 15,2026,15,0,0,0,0
PKRFLATLCTCPQ,3,530,,Checked-In,Front Loader,1M2TE2NC4TM001366,E L HARVEY & SONS INC,4029,2026-04-03,2026-04-03,2026-02-19,5274251,F4211,PKRFL,03351068,2026 - 14,2026,14,0,0,0,0
PKRRLHDCTCPQ,1,520,HFL,0,Rear Loader,813257,WCNX LEMAY,2511,2026-04-17,2026-04-17,null,5274348,F4211,PKRRL,03351106,2026 - 16,2026,16,0,0,0,0
PKRFLATLCTCPQ,3,530,,Checked-In,Front Loader,1M2TE2NC4TM001433,WCNX - PAPILLION OMAHA - 3050,4029,2026-04-03,2026-04-03,2026-02-17,5275535,F4211,PKRFL,03352001,2026 - 14,2026,14,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,3BPDLK0X5TF801899,WASTE CONNECTIONS - SANITARY DISPOSAL,3148,2026-04-03,2026-04-03,2026-02-18,5275770,F4211,PKRAL,03352193,2026 - 14,2026,14,0,0,0,0
PKRFL78CTCPQ,3,530,,0,Front Loader,813241,WCNX - ADA COUNTY - 2215,4086,2026-04-10,2026-04-10,null,5275968,F4211,PKRFL,03352304,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,1NPDLK0X3VD813231,WCNX TWIN FALLS PSI WASTE SYSTEMS,2848,2026-04-10,2026-04-10,2026-02-18,5275992,F4211,PKRAL,03352320,2026 - 15,2026,15,0,0,0,0
PKRFL78CTCPQ,3,520,,0,Front Loader,813234,WCNX LEMAY,4086,2026-04-16,2026-04-17,null,5276000,F4211,PKRFL,03352328,2026 - 16,2026,16,0,0,0,0
PKRFL78CTCPQ,3,520,,0,Front Loader,813238,WCI ALASKA WASTE OF KENAI,4086,2026-04-16,2026-04-17,null,5276329,F4211,PKRFL,03352743,2026 - 16,2026,16,0,0,0,0
PKRFLATLCTCPQ,3,525,,0,Front Loader,001439,WASTE CONNECTIONS - CHARLOTTE,4029,2026-04-17,2026-04-17,null,5276816,F4211,PKRFL,03353220,2026 - 16,2026,16,0,0,0,0
PKRFLATLCTCPQ,3,520,,0,Front Loader,001436,WASTE CONNECTIONS - CHICKASHA,4029,2026-04-16,2026-04-17,null,5276874,F4211,PKRFL,03353240,2026 - 16,2026,16,0,0,0,0
PKRFLATLCTCPQ,3,520,,0,Front Loader,001435,WASTE CONNECTIONS - CHICKASHA,4029,2026-04-17,2026-04-23,null,5276885,F4211,PKRFL,03353252,2026 - 16,2026,16,0,0,0,0
PKRFLATLCTCPQ,3,525,,0,Front Loader,001438,WASTE MASTERS SOLUTIONS,4029,2026-04-17,2026-04-17,null,5277006,F4211,PKRFL,03353305,2026 - 16,2026,16,0,0,0,0
PKRFLATLCTCPQ,3,530,,Checked-In,Front Loader,1M2TE2NC8TM001371,AJ BLOSENSKI INC A WCNX CO DIST 6360,4029,2026-04-03,2026-04-03,2026-02-17,5277010,F4211,PKRFL,03353313,2026 - 14,2026,14,0,0,0,0
PKRFLATLCTCPQ,3,530,,Checked-In,Front Loader,1M2TE2NC2TM001365,WCNX - GREATER BALTIMORE - 6350,4029,2026-04-03,2026-04-03,2026-02-23,5277055,F4211,PKRFL,03353380,2026 - 14,2026,14,0,0,0,0
PKRFLATLCTCPQ,3,530,,0,Front Loader,015023,REPUBLIC SERVICES OF COLORADO SPRINGS,4029,2026-04-17,2026-04-17,null,5277435,F4211,PKRFL,03353654,2026 - 16,2026,16,0,0,0,0
PKRFLATLCTCPQ,3,530,,0,Front Loader,015183,JP MASCARO AND SONS,4029,2026-04-03,2026-04-03,null,5277921,F4211,PKRFL,03354062,2026 - 14,2026,14,0,0,0,0
PKRRLHDCTCPQ,2,525,LFL,Checked-In,Rear Loader,1M2LR2GC2VM013181,CITY OF CASPER,2011,2026-04-10,2026-04-10,2026-02-09,5278116,F4211,PKRRL,03354142,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,5VCACRCE0TC253462,WM OF ALAMEDA COUNTY,2948,2026-04-17,2026-04-17,2026-02-03,5278383,F4211,PKRAL,03354396,2026 - 16,2026,16,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,5VCACRCE2TC253463,WM OF ALAMEDA COUNTY,2948,2026-04-17,2026-04-24,2026-02-02,5278384,F4211,PKRAL,03354405,2026 - 16,2026,16,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,5VCACRCE4TC253464,WM OF ALAMEDA COUNTY,2948,2026-04-17,2026-04-24,2026-02-03,5278385,F4211,PKRAL,03354409,2026 - 16,2026,16,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,5VCACRCE6TC253465,WM OF ALAMEDA COUNTY,2948,2026-04-17,2026-04-24,2026-02-04,5278386,F4211,PKRAL,03354433,2026 - 16,2026,16,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,5VCACRCE8TC253466,WM OF ALAMEDA COUNTY,2948,2026-04-17,2026-04-24,2026-01-19,5278387,F4211,PKRAL,03354444,2026 - 16,2026,16,0,0,0,0
PKREVALZR,1,530,HFL,Checked-In,PKREVALZR,4M9CGDKF6TM265242,REPUBLIC SERVICE DBA RAINBOW DISPOSAL CO,2750,2026-04-13,2026-04-13,2026-03-03,5278691,F4211,PKREV,03354639,2026 - 16,2026,16,0,0,0,0
